,Titre,Producteur,Date de sortie,Durée
0,Castle in the Sky,Isao Takahata,1986,124
1,Grave of the Fireflies,Toru Hara,1988,89
2,My Neighbor Totoro,Hayao Miyazaki,1988,86
3,Kiki's Delivery Service,Hayao Miyazaki,1989,102
4,Only Yesterday,Toshio Suzuki,1991,118
5,Porco Rosso,Toshio Suzuki,1992,93
6,Pom Poko,Toshio Suzuki,1994,119
7,Whisper of the Heart,Toshio Suzuki,1995,111
8,Princess Mononoke,Toshio Suzuki,1997,134
9,My Neighbors the Yamadas,Toshio Suzuki,1999,104
10,Spirited Away,Toshio Suzuki,2001,124
11,The Cat Returns,Toshio Suzuki,2002,75
12,Howl's Moving Castle,Toshio Suzuki,2004,119
13,Tales from Earthsea,Toshio Suzuki,2006,116
14,Ponyo,Toshio Suzuki,2008,100
15,Arrietty,Toshio Suzuki,2010,94
16,From Up on Poppy Hill,Toshio Suzuki,2011,91
17,The Wind Rises,Toshio Suzuki,2013,126
18,The Tale of the Princess Kaguya,Yoshiaki Nishimura,2013,137
19,When Marnie Was There,Yoshiaki Nishimura,2014,103
20,The Red Turtle,"Toshio Suzuki, Isao Takahata, Vincent Maraval, Pascal Caucheteux, Grégoire Sorlat",2016,80
